id_num,edge_id,edge_type
1,21640011,outer
1,21640012,outer
1,21640013,outer
1,21640014,outer
1,21640015,outer
1,21640016,outer
1,21640017,outer
1,21640018,outer
1,21640019,outer
1,21640020,outer
1,21640021,outer
1,21640022,outer
1,21640024,outer
1,21640027,outer
1,21640028,outer
1,21640029,outer
1,21640030,outer
1,21640033,outer
1,21640034,outer
1,21640035,outer
1,21640036,outer
1,21640037,outer
1,21640038,outer
1,21640039,outer
1,21640040,outer
1,21640041,outer
1,21640042,outer
1,21640043,outer
1,21640044,outer
1,21640045,outer
1,21700011,outer
1,21700013,outer
1,21700014,outer
1,21700015,outer
1,21700016,outer
1,21700017,outer
1,21700018,outer
1,21700020,outer
1,21700021,outer
1,21700022,outer
1,21700023,outer
1,21700024,outer
1,21700025,outer
1,21700026,outer
1,21700027,outer
1,21700028,outer
1,21700029,outer
1,21700030,outer
1,21700031,outer
1,21700032,outer
1,21700033,outer
1,21700034,outer
1,21700035,outer
1,21700036,outer
1,21700037,outer
1,21700038,outer
1,21700039,outer
1,21700040,outer
1,21700041,outer
1,21700042,outer
1,21700043,outer
1,21700044,outer
1,21700045,outer
1,21700046,outer
1,21700047,outer
1,21700048,outer
1,21700049,outer
1,21700050,outer
1,21700051,outer
1,21700052,outer
1,21700053,outer
1,21700054,outer
1,21700055,outer
1,21700056,outer
1,21700057,outer
1,21700058,outer
1,21700059,outer
1,21700060,outer
1,21700061,outer
1,21700062,outer
1,21700063,outer
1,21700064,outer
1,21700065,outer
1,21700066,outer
1,21700067,outer
1,21700068,outer
1,21700069,outer
1,21700070,outer
1,21700071,outer
1,21700072,outer
1,21700073,outer
1,21700074,outer
1,21700075,outer
1,21700076,outer
1,21700077,outer
1,21700078,outer
1,21700079,outer
1,21700080,outer
1,21700081,outer
1,21700082,outer
1,21700083,outer
1,21700084,outer
1,21700085,outer
1,21700086,outer
1,21700087,outer
1,21700088,outer
1,21700095,outer
1,21700096,outer
1,21800001,outer
1,21800002,outer
1,21800003,outer
1,21800004,outer
1,21800005,outer
1,21800006,outer
1,21800007,outer
1,21800008,outer
1,21800010,outer
1,21800011,outer
1,21800012,outer
1,21800013,outer
1,21800014,outer
1,21800015,outer
1,21800016,outer
1,21800017,outer
1,21800018,outer
1,21800019,outer
1,21800020,outer
1,21800028,outer
1,21800029,outer
1,21800032,outer
1,21800033,outer
1,21800034,outer
1,21800037,outer
1,21800040,outer
1,21800041,outer
1,21800044,outer
1,21800046,outer
1,21800048,outer
1,21800049,outer
1,21800054,outer
1,21800058,outer
1,21800060,outer
1,21800061,outer
1,21800063,outer
1,21850001,outer
1,21850002,outer
1,21850003,outer
1,21850007,outer
1,21850008,outer
1,21850009,outer
1,21850010,outer
1,21850011,outer
1,21850012,outer
1,21850013,outer
1,21850014,outer
1,21850015,outer
1,21850016,outer
1,21850017,outer
1,21850018,outer
1,21850019,outer
1,21850020,outer
1,21850021,outer
1,21850022,outer
1,21850023,outer
1,21850024,outer
1,21850025,outer
1,21850026,outer
1,21850029,outer
1,21850030,outer
1,21850031,outer
1,21850032,outer
1,21850034,outer
1,21850035,outer
1,21850036,outer
1,21850037,outer
1,21850038,outer
1,21850039,outer
1,21850041,outer
1,21850042,outer
1,21850043,outer
1,21850046,outer
1,21850047,outer
1,21850048,outer
1,21850049,outer
1,21850050,outer
1,21850051,outer
1,21850052,outer
1,21850053,outer
1,21850054,outer
1,21850055,outer
1,21850056,outer
1,21850057,outer
1,21850058,outer
1,21850059,outer
1,21850063,outer
1,21850064,outer
1,21850068,outer
1,21850069,outer
1,21850070,outer
1,21850071,outer
1,21850072,outer
1,21850073,outer
1,21850074,outer
1,21850075,outer
1,21850076,outer
1,21850077,outer
1,21850078,outer
1,21850079,outer
1,21850080,outer
1,21850081,outer
1,21850083,outer
1,21850084,outer
1,21850085,outer
1,21850086,outer
1,21850087,outer
1,21850088,outer
1,21850089,outer
1,21850090,outer
1,21850091,outer
1,21850092,outer
1,21850093,outer
1,21850094,outer
1,21850095,outer
1,21850096,outer
1,21850097,outer
1,21850098,outer
1,21850099,outer
1,21850100,outer
1,21850101,outer
1,21850102,outer
1,21850103,outer
1,21850104,outer
1,21850105,outer
1,21850106,outer
1,21850107,outer
1,21850108,outer
1,21850109,outer
1,21850110,outer
1,21850111,outer
1,21850112,outer
1,21850113,outer
1,21850114,outer
1,21850115,outer
1,21850116,outer
1,21850117,outer
1,21850118,outer
1,21850119,outer
1,21850120,outer
1,21850121,outer
1,21850122,outer
1,21850123,outer
1,21850124,outer
1,21850125,outer
1,21850127,outer
1,21880001,outer
1,21880002,outer
1,21880004,outer
1,21880008,outer
1,21880009,outer
1,21880010,outer
1,21880011,outer
1,21880012,outer
1,21880013,outer
1,21880014,outer
1,21880015,outer
1,21880016,outer
1,21880017,outer
1,21880018,outer
1,21880019,outer
1,21880020,outer
1,21880021,outer
1,21880022,outer
1,21880023,outer
1,21880024,outer
1,21880025,outer
1,21880026,outer
1,21880027,outer
1,21880028,outer
1,21880029,outer
1,21880030,outer
1,21880031,outer
1,21880032,outer
1,21880033,outer
1,21880034,outer
1,21880035,outer
1,21880036,outer
1,21880037,outer
1,21880038,outer
1,21880039,outer
1,21880040,outer
1,22010001,outer
1,22010002,outer
1,22010003,outer
1,22010004,outer
1,22010005,outer
1,22010006,outer
1,22010007,outer
